C2/RED TEAM TOOL,SSL IMPLEMENTATION TESTED,JARM_FINGERPRINT,REFERENCE
AsyncRAT,,1dd40d40d00040d1dc1dd40d1dd40d3df2d6a0c2caaa0dc59908f0d3602943,
Cobalt Strike,Java 11,07d14d16d21d21d07c42d41d00041d24a458a375eef0c576d23a7bab9a9fb1,https://www.cobaltstrike.com/
Covenant,ASP.net core,21d14d00000000021c21d14d21d21d1ee8ae98bf3ef941e91529a93ac62b8b,https://github.com/cobbr/Covenant
Deimos,go 1.15.2 linux/amd64 with github.com/gorilla/websocket package,00000000000000000041d00000041d9535d5979f591ae8e547c5e5743e5b64,https://github.com/DeimosC2/DeimosC2
EvilGinx2,go 1.10.4 linux/amd64,20d14d20d21d20d20c20d14d20d20daddf8a68a1444c74b6dbe09910a511e6,https://github.com/kgretzky/evilginx2
Get2,N/A,07d19d12d21d21d07c07d19d07d21da5a8ab90bcc6bf8bbc6fbec4bcaa8219,
GRAT2 C2,python3 http.server,2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,https://github.com/r3nhat/GRAT2
MacC2,python 3.8.6 w/aiohttp 3,2ad2ad0002ad2ad22c42d42d000000faabb8fd156aa8b4d8a37853e1063261,https://github.com/cedowens/MacC2
MacC2,python 3.8.2 w/aiohttp 3,2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,https://github.com/cedowens/MacC2
MacShellSwift,python 3.8.6 socket,2ad000000000000000000000000000eeebf944d0b023a00f510f06a29b4f46,https://github.com/cedowens/MacShellSwift
Merlin,go 1.15.2 linux/amd64,29d21b20d29d29d21c41d21b21b41d494e0df9532e75299f15ba73156cee38,https://github.com/Ne0nd0g/merlin
Metasploit ssl listener,ruby 2.7.0p0,07d14d16d21d21d00042d43d000000aa99ce74e2c6d013c745aa52b5cc042d,https://github.com/rapid7/metasploit-framework
Metasploit ssl listener,ruby,07d14d16d21d21d07c42d43d000000f50d155305214cf247147c43c0f1a823,https://github.com/rapid7/metasploit-framework
Mythic,python 3 w/aiohttp 3,2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,https://github.com/its-a-feature/Mythic
PoshC2,python3 http.server,2ad2ad0002ad2ad22c42d42d000000faabb8fd156aa8b4d8a37853e1063261,https://github.com/nettitude/PoshC2
Shad0w,python 3.8 flask,2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,https://github.com/bats3c/shad0w
SILENTRINITY,ironpython,2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,https://github.com/byt3bl33d3r/SILENTTRINITY
Sliver,go 1.15.2 linux/amd64,2ad2ad0002ad2ad00041d2ad2ad41da5207249a18099be84ef3c8811adc883,https://github.com/BishopFox/sliver
Trickbot,,22b22b09b22b22b22b22b22b22b22b352842cd5d6b0278445702035e06875c,
